📺央视频道,#genre#
CCTV-1,http://218.17.33.178:53290/tsfile/live/1001_1.m3u8?key=txiptv
CCTV-2,http://218.17.33.178:53290/tsfile/live/1002_1.m3u8?key=txiptv
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-1,http://112.123.206.32:808/hls/1/index.m3u8
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV-1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8
CCTV-1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV-2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8
CCTV-2,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8
CCTV-2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV-1,webview://https://yangshipin.cn/tv/home?pid=600001859
CCTV-1,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=1
CCTV-1,webview://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=11200132825562653886
CCTV-1,webview://https://www.yangshipin.cn/tv/home?pid=600001859
CCTV-1,webview://https://tv.cctv.com/live/cctv1/index.shtml
CCTV-1,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv1
CCTV-1,webview://https://m.miguvideo.com/m/liveDetail/608807420?channelId=10010001005

CCTV-2,webview://https://www.yangshipin.cn/tv/home?pid=600001800
CCTV-2,webview://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=12030532124776958103
CCTV-2,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv2
CCTV-2,webview://https://vod.cctv.cn/cctv/cctvh5/cctv2/2023/05/cctv2_share/index.html
CCTV-2,webview://https://tv.cctv.com/live/cctv2/
CCTV-2,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv2/
CCTV-2,webview://https://m.miguvideo.com/m/liveDetail/631780532?channelId=10010001005
CCTV-3,webview://https://yangshipin.cn/tv/home?pid=600001801
CCTV-3,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=2
CCTV-3,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv3
CCTV-3,webview://https://tv.cctv.com/live/cctv3/m/
CCTV-3,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv3/
CCTV-4,webview://https://www.yangshipin.cn/tv/home?pid=600001814
CCTV-4,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv4
CCTV-4,webview://https://m.miguvideo.com/m/liveDetail/631780421?channelId=10010001005
CCTV-4,webview://https://tv.cctv.com/live/cctv4/m/
CCTV-4,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv4/
CCTV-4,webview://https://m-live.cctvnews.cctv.com/live/landscape.html?liveRoomNumber=10620168294224708952
CCTV-5,webview://https://yangshipin.cn/tv/home?pid=600001818
CCTV-5,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv5
CCTV-5,webview://https://tv.cctv.com/live/cctv5/
CCTV-5,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv5/
CCTV-5,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=3
CCTV-5,webview://https://yangshipin.cn/tv/home?pid=600001817
CCTV-5+,webview://https://tv.cctv.com/live/cctv5plus/
CCTV-5+,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv5plus
CCTV-5+,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv5plus/
CCTV-6,webview://https://m.1905.com/m/cctv6/gzh/
CCTV-6,webview://https://yangshipin.cn/tv/home?pid=600108442
CCTV-6,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv6
CCTV-6,webview://https://m.1905.com/m/cctv6/gzh/
CCTV-6,webview://https://tv.cctv.com/live/cctv6/
CCTV-6,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv6/
CCTV-6,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=4
CCTV-7,webview://https://www.yangshipin.cn/tv/home?pid=600004092
CCTV-7,webview://https://www.hndyjyfw.gov.cn/livePlay.html?u=5
CCTV-7,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv7
CCTV-7,webview://https://m.miguvideo.com/m/liveDetail/673168121?channelId=10010001005
CCTV-7,webview://https://web.junhao.mil.cn/cms/rmt9502_html/735/735mrgrgklm/5234612.shtml?share=true&type=15&articleid=5234612
CCTV-7,webview://https://tv.cctv.com/live/cctv7/m/
CCTV-7,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv7/
CCTV-8,webview://https://yangshipin.cn/tv/home?pid=600001803
CCTV-8,webview://https://app.cctv.com/special/m/livevod/index.html?vtype=1&channel=cctv8
CCTV-8,webview://https://big5.cctv.com/gate/big5/tv.cctv.com/live/cctv8/
CCTV-9,webview://https://www.yangshipin.cn/tv/home?pid=600004078
